text,created_at
"TCP, DELINCUENTES
No tienen respeto, son descarados, son serviles, son delincuentes y hacen todo lo posible para favorecer a quien los puso en esos cargos.
Juegan con los plazos procesales y lo único que buscan a toda costa, es repetir algo que todavía recordamos todos.
Sí, los del TRIBUNAL CONSTITUCIONAL PLURINACIONAL son claros serviles al partido del MAS. 
Recordemos que este órgano del estado, también posibilitó la habilitación de Evo Morales para un cuarto mandato ignorando incluso un Referendo que le cerró el paso a su impostura y hoy ya se sabe que la CIDH se pronunció al respecto y no hay tal “derecho humano” para prorrogarse indefinidamente en el poder, habiendo limitaciones constitucionales.
En el presente caso, habiendo pruebas evidentes para la cancelación de la Personalidad Jurídica del MAS, existiendo jurisprudencia en ese sentido, todavía lo premian utilizando para ello a todo un Tribunal Constitucional Plurinacional como su brazo operativo judicial, para lavarles la cara a quienes  revelaron encuestas, favorecerlos también en el monumental fraude electoral que hasta ahora hay sanción al respecto.
Con todos estos antecedentes, crecen nuestras dudas sobre la eficacia de las próximas elecciones, cuando vemos y somos testigos de encuestas que surgen y se elaboran al mejor postor y se publican sin el más mínimo rubor para favorecer a quien las paga.
Cuando sabemos que todos los procedimientos electorales para favorecer al anterior régimen siguen intactos y se aplicará el mismo método y con los mismos actores que manipularon los resultados, solo varían los nombres de los integrantes del TSE que fueron designados por la Asamblea Legislativa Plurinacional con mayoría masista y por tanto, obedecen también a quienes los designaron en esos cargos, apartándose de su imparcialidad.
Esa es la realidad a la cual nos enfrentamos, simple y llanamente es la misma estructura delincuencialmente montada por el anterior régimen para favorecer a ciertas candidaturas para que nuestro país siga en el atraso.
Santa Cruz de la Sierra, 01 de octubre de 2020
PROYECTO CHI PUEDE",2020-10-01
"""UN GOBIERNO FACILITADOR PARA UN PUEBLO EMPRENDEDOR""
.
.
.
En nuestro gobierno vamos a gestionar  Monocultores para todos nuestros hermanos  agricultores ....",2020-10-01
"Población LGBT y legalización del ABORTO.  
Programa ""Propuesta por Bolivia"" TVU 01/10/2020",2020-10-02
"MUCHAS GRACIAS A NUESTROS HERMANOS DE COBIJA- PANDO

#ChiPuede",2020-10-02
"HACIA UNA EDUCACIÓN DE 1er MUNDO
""Tenemos que gestionar no solamente 4 ó 5 horas de clases al día. Sino tenemos que multiplicar x 2"" y además volver a dividir en 3 ciclos. ""Básico. Intermedio y Medio"" sin quitar la niñes a los niños.",2020-10-02
Presupuesto para la SALUD,2020-10-03
"GRAN DEBATE DE PRESIDENCIABLES 3 OCT 2020 19:30 H
“Hablemos del futuro económico de #Bolivia” 
El debate más esperado por la población boliviana porque se contará con la presencia de todos los candidatos a la presidencia.",2020-10-03
"HOY DOM 4 OCT 2020 A LAS 20H GRAN DEBATE DE PRESIDENCIABLES EN LA CIUDAD DE LA PAZ. 
A pesar de Arce manifestar no asistir, y en las últimas horas Camacho y Mesa también están manifestando lo mismo. Invitamos a toda la población boliviana a acompañar las propuestas de nuestro Proyecto Chi Puede, por una Bolivia productiva e industrializada.",2020-10-04
"BOLIVIA PRODUCTIVA E INDUSTRIALIZADA, RUMBO AL 1er MUNDO CON ""CHI PUEDE""  RESUMEN DEL FORO-DEBATE 03 OCT 2020 
""Gobierno facilitador para un pueblo emprendedor"" 
con: Cooperación - Autosustentación - Trabajo intenso
Link Foro/Debate completo: https://www.facebook.com/watch/?v=762670550962292",2020-10-04
"Todas las INTERVENCIONES DEL Dr. CHI EN EL 2do DEBATE de presidenciables. 4 Octubre del 2020. C.O.E. La Paz.  Los ausentes Arce y Camacho.
Link debate completo: https://www.facebook.com/watch/live/?v=1400327950159799&ref=search",2020-10-05
"Entrevista a Dr. Chi en Unitel ""La Revista"" 06 Oct 2020",2020-10-06
06 OCT 2020 Dr. Chi desafía a Camacho a un debate,2020-10-06
"Estuvimos compartiendo en la ciudad de Sucre, ciudad donde me formé como médico. Gracias sucre!!!  06 Octubre 2020",2020-10-06
Dr. CHI vs. MESA en el 2do debate de presidenciables 04/10/2020,2020-10-06
"¿CÓMO VAMOS A UNIFICAR AL PAÍS?
N°1) Con amor de DIOS
N°2) Con respeto a la CONSTITUCIÓN POLÍTICA DEL ESTADO
Discurso en Sucre 2da parte 06/10/2020",2020-10-07
"Formalizamos invitación a Camacho para debatir sobre ""Gobierno de Dios y Gobierno moral de Dios""  La Paz  8 oct. 2020
https://exitonoticias.com.bo/.../chi-formaliza.../
https://www.facebook.com/watch/?v=344021883379646",2020-10-08
"Hacia una Bolivia productiva e industrializada, libre de corrupción. 
Chi Puede!!",2020-10-09
Vamos Bolivia...,2020-10-10
Vamos Bolivia!!!,2020-10-10
Vamos Bolivia con Chi se puede!!!,2020-10-10
Corea del Sur apoya a CHI. #VamosBolivia,2020-10-10
"Corea del Sur está con el Dr. Chi. Rumbo a convertirnos en la segunda Corea del Sur con Autosustentación, Cooperación y Trabajo intenso. Chi Puede....!!!!",2020-10-11
"Un saludo a todas las mujeres bolivianas en su día
11 de Octubre 2020 Caravana en La Paz",2020-10-11
"FPV pide al TSE anular la Alianza CC. 
Alianza ""Comunidad Ciudadana"" queda en manos del TSE.",2020-10-11
#VamosBolivia!!!,2020-10-12
Por una salud digna. ¡VAMOS BOLIVIA!,2020-10-12
Se destinará el 15 % del presupuesto general de la nación para la Salud. ¡VAMOS BOLIVIA!,2020-10-12
Corea del Sur apoya a CHI. #VamosBolivia,2020-10-12
"El partido F.R.I. DEJA SÓLO A CARLOS MESA y APOYA AL PROYECTO CHI PUEDE.
""El F.R.I. no está de acuerdo a convertir el país, en un país abortero, pedófilo y con ideología de género""  -- Dr. Chi Hyun Chung",2020-10-12
"""Si yo bajo, directamente gana el MAS. Si Luis Arce baja, podríamos ganar en 1ra vuelta.""  Vamos a trabajar para todos los bolivianos, tanto de la izquierda como los de la derecha.",2020-10-13
Corea del Sur apoya a CHI. #VamosBolivia,2020-10-13
Corea del Sur apoya a CHI. #VamosBolivia,2020-10-13
Corea del Sur apoya a CHI. #VamosBolivia,2020-10-13
"Proyecto Chi Puede no se baja. ""más bien invitamos a los demás partidos a que se unan a nosotros,  porque si bajo yo directamente gana el M.A.S. Y si baja Luis Arce ganaríamos en 1ra vuelta""
Entrevista a ExitoNoticias 12/10/2020",2020-10-13
Vamos Bolivia!!!,2020-10-13
Corea del Sur apoya a CHI. #VamosBolivia!!!,2020-10-13
"Las diversas facetas del candidato Chi Hyun Chung
#ChiPuede",2020-10-13
Cierre de campaña - Chi Puede.,2020-10-14
"ALIANZA “CREEMOS” DE CAMACHO ES ILEGAL
Ya vengo haciendo la denuncia a “CC” por ser ilegítima la candidatura que postula a Carlos Mesa, por no existir la unión legal entre CST y FRI. 
De la misma manera Caso Camacho, existen 2 denuncias ante el TSE por parte de PDC, una en 27 Ene 2020 y que fue ratificado el 06 Oct 2020 en que se reitera e insiste sobre la ilegalidad de esta unión entre PDC y UCS. Por lo tanto no existe esa alianza “CREEMOS” y es ilegítima la candidatura de Camacho.
Santa Cruz, 14 de Octubre de 2020",2020-10-14
"Hoy está de cumpleaños una persona especial quièn llegò a Bolivia desde Corea del Sur con toda su familia, como misioneros para servir a este paìs, llegando a estar entre los primeros nominados al premio nobel de La Paz. Y hoy celebramos sus 84 años y Bolivia te dice gracias papá por servir y ser ejemplo a todas las generaciones. 
14 de Octubre de 2020",2020-10-14
Inicio de caravana y cierre de campaña.,2020-10-14
"A las 19 Hrs. iniciamos el culto de:
ACCION DE GRACIAS/CIERRE DE CAMPAÑA ELECTORAL
FRENTE PARA LA VICTORIA.",2020-10-14
